delta,R,C,L,W,step
1, 0.21463457697257718,0.026690476190476188,3.4393939393939394,-0.12499628174192554,2
5, 0.22155007164364357,0.026690476190476188,3.435151515151515,-0.12459459809860861,3
5, 0.23524550136358835,0.026690476190476188,3.4317171717171715,-0.12295248140956748,4
1, 0.23984270652434442,0.026690476190476188,3.4202020202020202,-0.1083208725924674,5
5, 0.24235785491931494,0.026690476190476188,3.4224242424242424,-0.11071648607917708,6
2, 0.24247484182793,0.02657142857142857,3.4157575757575755,-0.1106371146684601,7
1, 0.26363204693278414,0.02657142857142857,3.408888888888889,-0.10996843241317567,8
2, 0.2787560380004568,0.026238095238095237,3.4084848484848487,-0.10486678015691021,9
1, 0.2979587939620055,0.026238095238095237,3.4149494949494947,-0.12189992065937898,10
34, 0.31087478159931003,0.026238095238095237,3.4149494949494947,-0.12189992065937898,11
30, 0.310874781599314,0.026357142857142857,3.425858585858586,-0.12934644125167524,12
81, 0.3133873682884978,0.019690476190476192,3.424848484848485,-0.12242029452411446,13
15, 0.3135071622804778,0.019690476190476192,3.4264646464646464,-0.1341474400043635,14
10, 0.31724559373904737,0.019690476190476192,3.4264646464646464,-0.1341474400043635,15
22, 0.317245593739051,0.019690476190476192,3.4145454545454546,-0.13066844405207284,16
48, 0.32490838698735897,0.019690476190476192,3.4165656565656564,-0.12488245190929408,17
6, 0.32730524647511056,0.019690476190476192,3.416969696969697,-0.13698931888626453,18
5, 0.32742398918230614,0.019880952380952385,3.4244444444444446,-0.1364197195892688,19
1, 0.32961744798787446,0.019880952380952385,3.4224242424242424,-0.14573935278064973,20
15, 0.3436515881799126,0.019880952380952385,3.4264646464646464,-0.15443284583125613,21
72, 0.3473318501251832,0.019880952380952385,3.4216161616161616,-0.15498844383962931,22
18, 0.35333676560591154,0.019880952380952385,3.425858585858586,-0.150437601166587,23
6, 0.3639372101231754,0.019880952380952385,3.4214141414141412,-0.14278557791563873,24
3, 0.36905562422160876,0.015642857142857146,3.4252525252525254,-0.14275258945698333,25
37, 0.37097649591658116,0.015642857142857146,3.422020202020202,-0.12129656471820047,26
10, 0.3717194882688553,0.015642857142857146,3.422222222222222,-0.12259652097901293,27
24, 0.37589729996061294,0.01997619047619048,3.424040404040404,-0.11740259403500969,28
52, 0.3802937466505893,0.01997619047619048,3.4208080808080807,-0.12092484213565755,29
30, 0.38585720093471065,0.01997619047619048,3.4331313131313133,-0.12833643940806833,30
9, 0.38626484080704976,0.01997619047619048,3.422020202020202,-0.12076647614799702,31
22, 0.38983781998835604,0.01997619047619048,3.424848484848485,-0.13803054669563947,32
7, 0.40794018481285943,0.019309523809523815,3.4149494949494947,-0.1367462032867108,33
1, 0.41649911190857003,0.019309523809523815,3.415151515151515,-0.12195310620337398,34
6, 0.41807846230771883,0.019309523809523815,3.416969696969697,-0.12166325503600323,35
7, 0.4334995908620782,0.019309523809523815,3.4165656565656564,-0.12287649406017287,36
3, 0.43392235180015215,0.019309523809523815,3.4274747474747476,-0.12465240446729417,37
1, 0.43769677093087206,0.03197619047619048,3.4282828282828284,-0.13882253451010482,38
6, 0.44714259052653826,0.03197619047619048,3.434747474747475,-0.13906252930589233,39
14, 0.45413234697422755,0.03197619047619048,3.434141414141414,-0.15042160999464446,40
5, 0.47388192114997296,0.03197619047619048,3.437777777777778,-0.15333154234743854,41
15, 0.47688913651683457,0.03197619047619048,3.446868686868687,-0.15329285597750636,42
10, 0.48470795715901643,0.03197619047619048,3.4442424242424243,-0.16877113195084195,43
53, 0.5103146016881569,0.03197619047619048,3.4537373737373738,-0.16873163721485843,44
14, 0.512555075348155,0.04278571428571429,3.457777777777778,-0.17454298895013068,45
14, 0.5172131434939876,0.04297619047619047,3.463030303030303,-0.17287943876897757,46
14, 0.5192713838273516,0.04297619047619047,3.458787878787879,-0.17400113734910738,47
4, 0.5218521043056257,0.04230952380952381,3.456969696969697,-0.17838080616025928,48
1, 0.5263514020599681,0.04230952380952381,3.4709090909090907,-0.17884994273611826,49
23, 0.5271001354211288,0.04297619047619047,3.4696969696969697,-0.17910173334903773,50
26, 0.5361619565775328,0.04480952380952381,3.4727272727272727,-0.17109171427730066,51
1, 0.5379279887008144,0.04461904761904762,3.4614141414141413,-0.16586438091217784,52
4, 0.5384426047938217,0.04485714285714286,3.4604040404040406,-0.16124997838408386,53
23, 0.5399202407400369,0.0441904761904762,3.458787878787879,-0.16121105612192002,54
4, 0.5412460257581744,0.0441904761904762,3.4644444444444447,-0.1652523358447841,55
2, 0.5443868651895931,0.0441904761904762,3.465858585858586,-0.16683184028919748,56
10, 0.5536807030381744,0.04385714285714286,3.468080808080808,-0.16758148225964567,57
6, 0.5545200358185082,0.04385714285714286,3.462222222222222,-0.17033747450339476,58
1, 0.5575024887127514,0.04385714285714286,3.45030303030303,-0.16715546262256942,59
4, 0.5589111000792132,0.04373809523809524,3.4438383838383837,-0.16714837477321787,60
5, 0.5590034441155314,0.04307142857142858,3.4424242424242424,-0.16889436284482315,61
5, 0.5612022662622693,0.04307142857142858,3.4444444444444446,-0.16017573606835805,62
1, 0.5615978440925679,0.04307142857142858,3.445050505050505,-0.15877213663785308,63
15, 0.5639957704140015,0.04307142857142858,3.451919191919192,-0.15725164227683744,64
2, 0.564147639027791,0.04373809523809524,3.4571717171717173,-0.167255759763853,65
1, 0.5648188193572947,0.052071428571428574,3.458181818181818,-0.16917953887978918,66
4, 0.5650587296584421,0.0476904761904762,3.447676767676768,-0.1721737585430353,67
22, 0.567375934769038,0.047880952380952385,3.4486868686868686,-0.17010183146503524,68
1, 0.5683222120386624,0.04764285714285715,3.442222222222222,-0.18637748919232874,69
17, 0.5687788496741798,0.051976190476190495,3.452121212121212,-0.18426787881597492,70
8, 0.570405491105525,0.04016666666666668,3.4426262626262627,-0.1791407135529296,71
36, 0.5723344464203659,0.04016666666666668,3.445858585858586,-0.1783755831011283,72
12, 0.5735164171911736,0.04016666666666668,3.4345454545454546,-0.1807085146887066,73
15, 0.5822241813351589,0.04016666666666668,3.4313131313131313,-0.1810397375757423,74
2, 0.5841898924015432,0.038500000000000006,3.430909090909091,-0.197818753967669,75
1, 0.5906422707439031,0.038023809523809536,3.429090909090909,-0.19810105248411075,76
1, 0.5938211601304362,0.038023809523809536,3.422222222222222,-0.1998639806138488,77
11, 0.5988969735867942,0.034452380952380963,3.4204040404040406,-0.1985599621140164,78
1, 0.6003335064587069,0.02778571428571429,3.4246464646464645,-0.1970227108813393,79
7, 0.600719515463971,0.02778571428571429,3.4292929292929295,-0.20955671557114047,80
4, 0.6021080323952884,0.02766666666666667,3.43030303030303,-0.21313471001247636,81
9, 0.6111577097558758,0.02766666666666667,3.4294949494949494,-0.22911701540821144,82
9, 0.6138260810682493,0.028000000000000004,3.422828282828283,-0.22913262832011697,83
12, 0.6147912145179738,0.028000000000000004,3.4135353535353534,-0.2195198911698103,84
2, 0.6168530898772341,0.041999999999999996,3.4183838383838383,-0.218261507754414,85
2, 0.6171612299076549,0.04866666666666666,3.418787878787879,-0.21735596478073985,86
13, 0.6176946827752686,0.04878571428571428,3.4272727272727272,-0.21735831154504123,87
4, 0.6180634016358112,0.04211904761904761,3.43030303030303,-0.2250306976348966,88
2, 0.6247697381891854,0.04211904761904761,3.4363636363636365,-0.22560125096657907,89
22, 0.6266387961658347,0.04211904761904761,3.4402020202020203,-0.22982026438359082,90
6, 0.6289000573334991,0.04145238095238095,3.4456565656565656,-0.2292885051684274,91
1, 0.6318444618928841,0.04145238095238095,3.4460606060606063,-0.24746065731558964,92
4, 0.6321521829518779,0.04345238095238095,3.4638383838383837,-0.2441028579802808,93
1, 0.6327862243193151,0.04345238095238095,3.457979797979798,-0.25977007231433824,94
2, 0.6393241675419178,0.04678571428571429,3.4571717171717173,-0.25946231720174295,95
11, 0.6404506426011193,0.04489682539682541,3.449090909090909,-0.25965660195188006,96
8, 0.6409083201320238,0.04489682539682541,3.444848484848485,-0.2598914814265545,97
1, 0.6419631034281201,0.04489682539682541,3.442020202020202,-0.2602742556750536,98
6, 0.6422485807097429,0.044515873015873016,3.44,-0.2598226876603084,99
1, 0.6423832483542337,0.04506349206349207,3.429090909090909,-0.26657153815381185,100
5, 0.6516411993618213,0.04097619047619048,3.431919191919192,-0.26676016043168943,101
2, 0.6521735827772404,0.038642857142857145,3.430909090909091,-0.2667284113397606,102
1, 0.6528226686049114,0.038642857142857145,3.4214141414141412,-0.27654094828129466,103
14, 0.6537415105593616,0.044642857142857144,3.4234343434343435,-0.27665556550491754,104
2, 0.6546673365025082,0.03764285714285715,3.419191919191919,-0.2784733581672942,105
2, 0.6560419859609196,0.03430952380952382,3.4208080808080807,-0.2788125348579874,106
4, 0.6565111285237313,0.03430952380952382,3.4204040404040406,-0.2855265464464922,107
3, 0.6570863952179163,0.03464285714285715,3.4193939393939394,-0.2837733302781206,108
8, 0.6573163985658632,0.03464285714285715,3.418181818181818,-0.2865842353421559,109
8, 0.6590601861301963,0.03464285714285715,3.417979797979798,-0.28441449238307415,110
3, 0.6594100370644458,0.03464285714285715,3.4167676767676767,-0.284108769874577,111
11, 0.6639850775010875,0.03464285714285715,3.42,-0.27922696442145434,112
15, 0.6658538691858904,0.03464285714285715,3.4208080808080807,-0.27198838441539697,113
8, 0.6666753449187107,0.03426190476190477,3.4155555555555557,-0.2673682435061311,114
1, 0.6673635784998857,0.028261904761904762,3.409090909090909,-0.2587337795193375,115
10, 0.6701499831540765,0.031047619047619053,3.4214141414141412,-0.25921270701095034,116
23, 0.6705145939296157,0.030380952380952383,3.4202020202020202,-0.2692042477604475,117
13, 0.671191379478056,0.03352380952380953,3.4272727272727272,-0.2694418959909308,118
6, 0.6720429514913915,0.0310952380952381,3.425858585858586,-0.2723452300726752,119
16, 0.6745076480650618,0.0310952380952381,3.428888888888889,-0.2685478839952039,120
1, 0.67502289262568,0.02942857142857143,3.436161616161616,-0.2661588966293838,121
2, 0.6750740945172425,0.02942857142857143,3.4323232323232324,-0.26485060267507887,122
4, 0.675176129403588,0.02942857142857143,3.437373737373737,-0.2650457202895409,123
30, 0.676353783513152,0.02942857142857143,3.4278787878787877,-0.27429618104128173,124
5, 0.6773224251201799,0.024095238095238093,3.4145454545454546,-0.28105664292962373,125
44, 0.6775998217851036,0.024095238095238093,3.4155555555555557,-0.2804471972924331,126
27, 0.6778194498566636,0.024095238095238093,3.406262626262626,-0.27827307831112935,127
2, 0.6786473070129301,0.024428571428571424,3.410909090909091,-0.27823799752964357,128
18, 0.6789527532187378,0.024428571428571424,3.4101010101010103,-0.28783637214506996,129
1, 0.6796525487634487,0.024428571428571424,3.410909090909091,-0.31011900497620554,130
1, 0.6797325198363207,0.028952380952380948,3.4149494949494947,-0.30993972823891675,131
10, 0.6798481680566633,0.029142857142857137,3.4204040404040406,-0.3150493260986348,132
4, 0.6816476940057434,0.029142857142857137,3.4216161616161616,-0.3107879020772293,133
4, 0.6834894918788874,0.026476190476190473,3.418181818181818,-0.3155548254318789,134
