delta= 0    R= 0 C= 0.026785714285714284 L= 3.438787878787879 W= -0.12536546814056437 step= 1
delta= 1    R= 0.21463457697257718 C= 0.026690476190476188 L= 3.4393939393939394 W= -0.12499628174192554 step= 2
delta= 5    R= 0.22155007164364357 C= 0.026690476190476188 L= 3.435151515151515 W= -0.12459459809860861 step= 3
delta= 5    R= 0.23524550136358835 C= 0.026690476190476188 L= 3.4317171717171715 W= -0.12295248140956748 step= 4
delta= 1    R= 0.23984270652434442 C= 0.026690476190476188 L= 3.4202020202020202 W= -0.1083208725924674 step= 5
delta= 5    R= 0.24235785491931494 C= 0.026690476190476188 L= 3.4224242424242424 W= -0.11071648607917708 step= 6
delta= 2    R= 0.24247484182793 C= 0.02657142857142857 L= 3.4157575757575755 W= -0.1106371146684601 step= 7
delta= 1    R= 0.26363204693278414 C= 0.02657142857142857 L= 3.408888888888889 W= -0.10996843241317567 step= 8
delta= 2    R= 0.2787560380004568 C= 0.026238095238095237 L= 3.4084848484848487 W= -0.10486678015691021 step= 9
delta= 1    R= 0.2979587939620055 C= 0.026238095238095237 L= 3.4149494949494947 W= -0.12189992065937898 step= 10
delta= 34    R= 0.31087478159931003 C= 0.026238095238095237 L= 3.4149494949494947 W= -0.12189992065937898 step= 11
delta= 30    R= 0.310874781599314 C= 0.026357142857142857 L= 3.425858585858586 W= -0.12934644125167524 step= 12
delta= 81    R= 0.3133873682884978 C= 0.019690476190476192 L= 3.424848484848485 W= -0.12242029452411446 step= 13
delta= 15    R= 0.3135071622804778 C= 0.019690476190476192 L= 3.4264646464646464 W= -0.1341474400043635 step= 14
delta= 10    R= 0.31724559373904737 C= 0.019690476190476192 L= 3.4264646464646464 W= -0.1341474400043635 step= 15
delta= 22    R= 0.317245593739051 C= 0.019690476190476192 L= 3.4145454545454546 W= -0.13066844405207284 step= 16
delta= 48    R= 0.32490838698735897 C= 0.019690476190476192 L= 3.4165656565656564 W= -0.12488245190929408 step= 17
delta= 6    R= 0.32730524647511056 C= 0.019690476190476192 L= 3.416969696969697 W= -0.13698931888626453 step= 18
delta= 5    R= 0.32742398918230614 C= 0.019880952380952385 L= 3.4244444444444446 W= -0.1364197195892688 step= 19
delta= 1    R= 0.32961744798787446 C= 0.019880952380952385 L= 3.4224242424242424 W= -0.14573935278064973 step= 20
delta= 15    R= 0.3436515881799126 C= 0.019880952380952385 L= 3.4264646464646464 W= -0.15443284583125613 step= 21
delta= 72    R= 0.3473318501251832 C= 0.019880952380952385 L= 3.4216161616161616 W= -0.15498844383962931 step= 22
delta= 18    R= 0.35333676560591154 C= 0.019880952380952385 L= 3.425858585858586 W= -0.150437601166587 step= 23
delta= 6    R= 0.3639372101231754 C= 0.019880952380952385 L= 3.4214141414141412 W= -0.14278557791563873 step= 24
delta= 3    R= 0.36905562422160876 C= 0.015642857142857146 L= 3.4252525252525254 W= -0.14275258945698333 step= 25
delta= 37    R= 0.37097649591658116 C= 0.015642857142857146 L= 3.422020202020202 W= -0.12129656471820047 step= 26
delta= 10    R= 0.3717194882688553 C= 0.015642857142857146 L= 3.422222222222222 W= -0.12259652097901293 step= 27
delta= 24    R= 0.37589729996061294 C= 0.01997619047619048 L= 3.424040404040404 W= -0.11740259403500969 step= 28
delta= 52    R= 0.3802937466505893 C= 0.01997619047619048 L= 3.4208080808080807 W= -0.12092484213565755 step= 29
delta= 30    R= 0.38585720093471065 C= 0.01997619047619048 L= 3.4331313131313133 W= -0.12833643940806833 step= 30
delta= 9    R= 0.38626484080704976 C= 0.01997619047619048 L= 3.422020202020202 W= -0.12076647614799702 step= 31
